,Unnamed: 0.1,Unnamed: 0,Fake ID,Year,City,Month,Day,Time,Week,Type Of Accident,Reasons,Street,Place,Area,Location,Lighting,Road Condition,Weather Condition,Road surface,Lay injured,Injured seat,Degree of injury,Age of the injured,The person's gender,Speed of the road,Number of tracks,Pedestrian behavior,Intersection,Total
2686,2686,2686,899159,2021,Abu Dhabi,May,Thursday,In the afternoon,second week,Shock,Overcoming the red light signal,Carrefour intersection - Jimmy-,Commercial area,Jimmy,Double road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,15,Male,80,3,There is no,Vertical cross intersection,1
2687,2687,2687,899160,2021,Umm Al Quwain,July,Wednesday,Before noon,fourth week,Be shocked,Overing from the right or ingredon is cautious,International Federation Street,Commercial area,The Rafeh area,Double road,day,Wicked (Bad),No Clouds,dry,passenger,Rapid in the back seat,Medium,1,Male,80,2,There is no,Not on or by (20) meters of a,1
2688,2688,2688,899161,2021,Sharjah,Dec,Tuesday,In the afternoon,fourth week,Run,Return back without making sure that the road is free,Hamriyah,Others,Hamriyah,Other (select),Night - Enough lighting,Wicked (Bad),No Clouds,dry,pedestrian,There is no passenger,Medium,1,Female,10,1,There is no,Others,1
2689,2689,2689,899162,2021,Abu Dhabi,November,Sunday,Before noon,second week,Shock,Not leaving enough distance,Sheikh Khalifa Bridge,Tunnel / Bridge,Sa'adiat Island,bridge,day,Wicked (Bad),No Clouds,dry,passenger,Rapid in the back seat,Medium,30,Male,100,4,There is no,Not at intersection,1
2690,2690,2690,899163,2021,Abu Dhabi,October,Sunday,At noon,the third week,Shock,Overcoming the red light signal,Hazaa Bin Zayed the First Street(Eleven),Commercial area,Reem Island,Intersection,day,Wicked (Bad),No Clouds,dry,driver,Bike,Medium,23,Male,80,3,There is no,Vertical cross intersection,1
2691,2691,2691,899164,2021,Sharjah,October,Wednesday,Evening,fourth week,Shock,Negligence and lack of attention,Sheikh Khalifa bin Zayed Street,Industrial area,Fourth industrial,Individual,Night - weak lighting,Wicked (Bad),No Clouds,dry,pedestrian,There is no passenger,Medium,38,Male,40,1,There is no,Not on or by (20) meters of a,1
2692,2692,2692,899165,2021,Sharjah,March,Monday,At noon,The fifth week,Run,Not securing the vehicle's stability while standing,Live roundabout,Mosque,Rotentity of the Hia Hawa area,Out of the way,day,Wicked (Bad),No Clouds,dry,pedestrian,There is no passenger,Medium,24,Male,40,1,Familiar,Not on or by (20) meters of a,1
2693,2693,2693,899166,2021,Abu Dhabi,Dec,Wednesday,Before noon,second week,Be shocked,Not adhering to the mandatory itinerary,Arabian Gulf Street(Thirty),Commercial area,Bridge bridge,Individual,day,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,59,Male,120,5,There is no,Not on or by (20) meters of a,1
2694,2694,2694,899167,2021,Abu Dhabi,June,Saturday,Evening,the third week,Shock,Preoccupation with the road while driving the vehicle in any way,Sheikh Maktoum Bin Rashid Street,Tunnel / Bridge,Sayeh Al -Sidair,Individual,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,37,Male,120,4,There is no,Not on or by (20) meters of a,1
2695,2695,2695,899168,2021,Abu Dhabi,October,Monday,Evening,fourth week,Be shocked,Not to make the road / not to give the brigades,An internal street,Residential area,full,Intersection,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,32,Male,60,2,There is no,A meeting of half -vertical roads,1
2696,2696,2696,899169,2021,Sharjah,August,Friday,Evening,The first week,Shock,Return back without making sure that the road is free,Gamal Abdel Nasser Street,Residential area,Al -Majaz 2,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Bike,Medium,31,Male,60,2,There is no,Not on or by (20) meters of a,1
2697,2697,2697,899170,2021,Abu Dhabi,November,Thursday,Before noon,the third week,Be shocked,Sudden deviation,There is no definition,Commercial area,Industrial Archbishop,Individual,day,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,55,Male,80,3,There is no,Not on or by (20) meters of a,1
2698,2698,2698,899171,2021,Abu Dhabi,January,Tuesday,Evening,the third week,Be shocked,Enter a major road without making sure that it is free,Khalifa Bin Zayed Street,Governmental,Sih bin Ammar,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,passenger,A passenger in the front seat,Medium,20,Male,100,3,There is no,Vertical cross intersection,1
2699,2699,2699,899172,2021,Abu Dhabi,January,Monday,Before noon,second week,Run,Preoccupation with the road while driving the vehicle in any way,Armored road,Commercial area,Industrial Archbishop,Double road,day,Wicked (Bad),No Clouds,dry,pedestrian,There is no passenger,Medium,35,Male,80,2,Familiar,Not on or by (20) meters of a,1
2700,2700,2700,899173,2021,Abu Dhabi,October,Wednesday,Evening,the third week,Cross -100,Not adhering to the mandatory itinerary,Abu Dhabi Road - Al Ain,hospital,Bani Yas (East),Individual,Night - Enough lighting,curve,No Clouds,dry,driver,Bike,Medium,44,Male,60,2,There is no,Not on or by (20) meters of a,1
2701,2701,2701,899174,2021,Abu Dhabi,June,Wednesday,Evening,second week,Run,Not to give priority to the infantry crossing,IPThirtyNineA Abu Dhabi Tourist Club Roundabout,Commercial area,The port,public road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,pedestrian,There is no passenger,Medium,76,Male,80,3,He crosses pedestrian crossing lines,Not at intersection,1
2702,2702,2702,899175,2021,Abu Dhabi,September,Thursday,At noon,fourth week,Run,Not to give priority to the infantry crossing,Hazza Bin Sultan Street,Residential area,The reefs,Double road,day,Wicked (Bad),No Clouds,dry,pedestrian,There is no passenger,Medium,24,Male,100,3,There is no,Not on or by (20) meters of a,1
2703,2703,2703,899176,2021,Abu Dhabi,May,Wednesday,Evening,The first week,Shock,Not leaving enough distance,Abu Dhabi Road - Al Ain,Tunnel / Bridge,Hawi camp,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,Temple,driver,Driver,Medium,25,Male,140,4,There is no,Not on or by (20) meters of a,1
2704,2704,2704,899177,2021,Abu Dhabi,April,Thursday,In the afternoon,The fifth week,Cross -100,Sudden deviation,Al Ain Street - Dubai,External road,Jag,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,passenger,A passenger in the front seat,Medium,24,Male,140,4,There is no,Not at intersection,1
2705,2705,2705,899178,2021,Abu Dhabi,October,Friday,Evening,the third week,Cross -100,Not adhering to the mandatory itinerary,Jabal Hafit Street,Mountainous area,Bare,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,26,Male,60,3,There is no,Not at intersection,1
2706,2706,2706,899179,2021,Abu Dhabi,October,Monday,Before noon,second week,A fixed body was shocked outside the road,Preoccupation with the road while driving the vehicle in any way,Truck Road (Abu Dhabi-Al Ain),External road,Al Wathba Camel Square,Individual,day,Wicked (Bad),No Clouds,dry,passenger,A passenger in the front seat,Medium,40,Male,100,1,There is no,Not on or by (20) meters of a,1
2707,2707,2707,899180,2021,Ajman,January,Tuesday,Evening,second week,Shock,Not leaving enough distance,El-Shikh Zayed street,Residential area,Kindergarten,Double road,day,Wicked (Bad),No Clouds,dry,driver,Bike,Medium,28,Male,80,0,There is no,Not on or by (20) meters of a,1
2708,2708,2708,899181,2021,Abu Dhabi,July,Wednesday,Evening,The first week,Shock,Not leaving enough distance,Sheikh Maktoum Bin Rashid Street,Governmental,Sayeh Al -Sidair,Individual,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,28,Male,80,4,There is no,Not on or by (20) meters of a,1
2709,2709,2709,899182,2021,Abu Dhabi,March,Thursday,Before noon,fourth week,Shock,Overcoming the red light signal - the arrow signal,IPSeventyFiveD Eastern Intersection (Traffic) - Street Thirty One,Governmental,Humper saffron,Intersection,day,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,61,Male,80,5,There is no,Vertical cross intersection,1
2710,2710,2710,899183,2021,Abu Dhabi,February,Monday,At noon,second week,A fixed body shocked the road,Sudden deviation,Sheikh Mohammed bin Rashid Al Maktoum Street,External road,Gentott,Double road,day,Wicked (Bad),No Clouds,Temple,passenger,A passenger in the front seat,Medium,40,Male,140,3,There is no,Not on or by (20) meters of a,1
2711,2711,2711,899184,2021,Abu Dhabi,July,Monday,Evening,The first week,Be shocked,Not adhering to the mandatory itinerary,Rashid between Sayed Al Maktoum Street (Tah),Tunnel / Bridge,There is no definition of regions,public road,day,Wicked (Bad),No Clouds,dry,driver,Bike,Medium,33,Male,120,4,There is no,Not on or by (20) meters of a,1
2712,2712,2712,899185,2021,Sharjah,July,Saturday,In the afternoon,fourth week,Run,Preoccupation with the road while driving the vehicle in any way,King Abdulaziz Street,Mosque,Bushra,Individual,Night - Enough lighting,Wicked (Bad),No Clouds,dry,pedestrian,There is no passenger,Medium,44,Female,40,1,There is no,Not on or by (20) meters of a,1
2713,2713,2713,899186,2021,Ras Al Khaimah,January,Thursday,Before noon,fourth week,Run,The lack of conditions of security and traffic safety,Shama Al Rams Street,Commercial area,Palm,Double road,day,narrow road,No Clouds,Temple,pedestrian,There is no passenger,Medium,47,Male,80,3,He crosses not on transit lines,Not on or by (20) meters of a,1
2714,2714,2714,899187,2021,Abu Dhabi,May,Tuesday,Before noon,the third week,Consecutive,Negligence and lack of attention,El-Shikh Zayed street,Residential area,There is no definition of regions,public road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,39,Male,120,4,There is no,Not at intersection,1
2715,2715,2715,899188,2021,Sharjah,April,Tuesday,In the afternoon,the third week,Shock,Preoccupation with the road while driving the vehicle in any way,Ali bin Abi Talib Street,School,Comfort,Intersection,day,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,11,Male,60,2,There is no,Vertical cross intersection,1
2716,2716,2716,899189,2021,Abu Dhabi,February,Wednesday,Before noon,The first week,A fixed body was shocked outside the road,Driving without a driver's license at all,Al -Mafraq Al -Shawamik Street,Residential area,Bani Yas (East),Double road,day,Wicked (Bad),No Clouds,dry,passenger,Rapid in the back seat,Medium,11,Male,40,1,There is no,Not on or by (20) meters of a,1
2717,2717,2717,899190,2021,Ras Al Khaimah,January,Wednesday,Before noon,fourth week,Be shocked,Negligence and lack of attention,Dqaladah Street,Governmental,Stagnation,public road,day,Wicked (Bad),No Clouds,Temple,passenger,Rapid in the back seat,Medium,35,Male,80,2,There is no,Hole,1
2718,2718,2718,899191,2021,Abu Dhabi,November,Friday,At noon,second week,Cross -100,Not adhering to the mandatory itinerary,Jabal Hafit Street,Mountainous area,There is no definition of regions,Double road,day,Wicked (Bad),No Clouds,dry,passenger,Rapid in the back seat,Medium,4,Female,60,2,There is no,Not at intersection,1
2719,2719,2719,899192,2021,Abu Dhabi,February,Thursday,At noon,fourth week,Shock,Preoccupation with the road while driving the vehicle in any way,Sheikh Maktoum Bin Rashid Street,External road,Phantom,Double road,day,Wicked (Bad),No Clouds,dry,passenger,A passenger in the front seat,Medium,39,Male,140,5,There is no,Not on or by (20) meters of a,1
2720,2720,2720,899193,2021,Abu Dhabi,July,Saturday,Evening,the third week,Shock,Preoccupation with the road while driving the vehicle in any way,Tarif road,External road,Arian,Individual,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,43,Male,140,3,There is no,Not on or by (20) meters of a,1
2721,2721,2721,899194,2021,Fujairah,October,Wednesday,At noon,second week,Run,Preoccupation with the road while driving the vehicle in any way,Sheikh Zayed bin Sultan Al Nahyan Street,Others,Bureaux area,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,Temple,pedestrian,There is no passenger,Medium,44,Male,80,2,There is no,Not on or by (20) meters of a,1
2722,2722,2722,899195,2021,Abu Dhabi,June,Thursday,Before noon,fourth week,Run,Preoccupation with the road while driving the vehicle in any way,Armored road,Industrial area,Industrial armored bridge,Individual,day,Wicked (Bad),No Clouds,dry,pedestrian,There is no passenger,Medium,29,Male,40,2,He crosses not on transit lines,Not on or by (20) meters of a,1
2723,2723,2723,899196,2021,Abu Dhabi,January,Friday,In the afternoon,second week,Run,Not to give priority to the infantry crossing,Al -Mafraq Al -Shawamik Street,Commercial area,Bani Yas (East),Other (select),Night - Enough lighting,Wicked (Bad),No Clouds,dry,pedestrian,There is no passenger,Medium,39,Male,60,3,He crosses pedestrian crossing lines,Not on or by (20) meters of a,1
2724,2724,2724,899197,2021,Abu Dhabi,Dec,Thursday,Before noon,fourth week,A fixed body shocked the road,Preoccupation with the road while driving the vehicle in any way,Abu Dhabi Road - Al Ain,External road,the seal,public road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,73,Male,40,2,There is no,Hole,1
2725,2725,2725,899198,2021,Sharjah,May,Saturday,At noon,second week,Be shocked,Negligence and lack of attention,Nahda Street,Residential area,Nomination,Double road,day,Wicked (Bad),No Clouds,dry,driver,Bike,Medium,22,Male,30,2,There is no,Not on or by (20) meters of a,1
2726,2726,2726,899199,2021,Abu Dhabi,May,Saturday,At noon,the third week,Consecutive,Preoccupation with the road while driving the vehicle in any way,Armored road,Commercial area,Khalifa popular bridge,vertigo,day,Wicked (Bad),No Clouds,dry,driver,Bike,Medium,38,Male,60,2,There is no,vertigo,1
2727,2727,2727,899200,2021,Sharjah,June,Tuesday,At noon,The first week,Be shocked,Not adhering to the mandatory itinerary,King Faisal Street,Residential area,Magazine 1,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Bike,Medium,23,Male,60,3,There is no,Not on or by (20) meters of a,1
2728,2728,2728,899201,2021,Umm Al Quwain,October,Tuesday,In the afternoon,fourth week,A fixed body was shocked outside the road,Negligence and lack of attention,Sheikh Ahmed bin Rashid Al Mualla Street.,Governmental,Casablanca area a,vertigo,Night - Enough lighting,Wicked (Bad),No Clouds,dry,passenger,Rapid in the back seat,Medium,32,Male,60,2,There is no,vertigo,1
2729,2729,2729,899202,2021,Ras Al Khaimah,November,Sunday,At noon,second week,Run,Not to give priority to the infantry crossing,Al -Faisal Street,Commercial area,Old Ras Al Khaimah,public road,day,crowded,No Clouds,Temple,pedestrian,There is no passenger,Medium,33,Female,80,3,It crosses the crossing lines,Others,1
2730,2730,2730,899203,2021,Ajman,January,Wednesday,At noon,fourth week,A fixed body shocked the road,Sudden deviation,Sheikh Hamid bin Rashid Al Nuaimi Street,Others,Rumor,Double road,day,Wicked (Bad),No Clouds,dry,pedestrian,There is no passenger,Medium,29,Female,50,0,There is no,Not on or by (20) meters of a,1
2731,2731,2731,899204,2021,Ras Al Khaimah,July,Saturday,Evening,second week,Be shocked,Enter a major road without making sure that it is free,Khuzam Street,Residential area,Lap,Individual,Night - weak lighting,narrow road,No Clouds,Temple,driver,Driver,Medium,51,Female,40,2,There is no,Vertical cross intersection,1
2732,2732,2732,899205,2021,Abu Dhabi,July,Saturday,Evening,the third week,Shock,Preoccupation with the road while driving the vehicle in any way,Tarif road,External road,Arian,Individual,Night - Enough lighting,Wicked (Bad),No Clouds,dry,passenger,A passenger in the front seat,Medium,37,Female,140,3,There is no,Not on or by (20) meters of a,1
2733,2733,2733,899206,2021,Abu Dhabi,November,Sunday,Before noon,second week,Shock,Not leaving enough distance,Sheikh Khalifa Bridge,Tunnel / Bridge,Sa'adiat Island,bridge,day,Wicked (Bad),No Clouds,dry,passenger,Rapid in the back seat,Medium,33,Male,100,4,There is no,Not at intersection,1
2734,2734,2734,899207,2021,Sharjah,April,Tuesday,Evening,The first week,Run,Negligence and lack of attention,Kuwait Street,Residential area,Maysalon,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,pedestrian,There is no passenger,Medium,36,Female,60,2,He crosses not on transit lines,Others,1
