,Unnamed: 0,rec_id,Accident number,Competent Department,Competent Center,Amount rating,Date of the accident,The date and time of the notification,Date and time of first arrival,Date and time of completion of control,End date and time of the operation,Departure date and time,Date and time of return to the center,Accident Group,Type of accident,Direct damage,Acccident scene category,Accident scene,Accident title,The band's work summary,Activity,Weather condition,Road condition,Priority level,Accident size,The cause of the accident,The number of injured people,The number of deaths in the public,The number of injured members of the force,The number of deaths of members of the force
2274,2274,93422,117242,Eye,Civil Defense Center - Zakher (fast intervention),Police and traffic,10/14/2018,2018/10/14-14:21,2018/10/14-14:27,2018/10/14-14:30,10/14/2018 17:10,2018/10/14-17:24,2018/10/14-17:30,Transportation accidents,Deterioration,Trucks,Other places,Streets and squares,From the Cement Factory roundabout towards Zakhr,existence,Cars,No Clouds,natural,Normal,Limited,it is not determined yet,,,,
2275,2275,93449,117273,Ajman,Civil Defense Center - Industrial,Police and traffic,10/16/2018,2018/10/16-00:14,2018/10/16-00:20,2018/10/16-00:56,10/16/2018 1:04,2018/10/16-01:06,2018/10/16-01:13,Transportation accidents,Clash,Cars,Other places,Other places,Sheikh Mohammed bin Zayed Street towards Sheikh Ammar Bridge,Directing confined and transferring injured people,Missing,I did not specify,unclassified,unclassified,basic,it is not determined yet,,,,
2276,2276,93487,117311,Fujairah,Civil Defense Center - Al -Madinah,Police and traffic,10/17/2018,2018/10/17-17:55,2018/10/17-17:59,2018/10/17-18:02,10/17/2018 18:03,2018/10/17-18:04,2018/10/17-18:10,Transportation accidents,Clash,Cars,Public facilities and services,Public places and places,Fujairah / Marishid area,take actions,Missing,No Clouds,natural,unclassified,Limited,it is not determined yet,,,,
2277,2277,93520,117349,Ras Al Khaimah,Civil Defense Center - Administration,he did not specify,10/18/2018,2018/10/18-23:13,2018/10/18-23:18,2018/10/18-23:31,10/18/2018 23:32,2018/10/18-23:35,2018/10/18-23:40,Transportation accidents,One hundredth,Cars,Other places,Streets and squares,The Eid prayer hall near the Sheikh Zayed Mosque,Separation of a battery,Missing,No Clouds,natural,Normal,basic,Traffic accident,,,,
2278,2278,93523,117352,Ras Al Khaimah,Civil Defense Center - Al -Jazeera Al -Hamra,Police and traffic,10/19/2018,2018/10/19-01:44,2018/10/19-01:52,2018/10/19-02:38,10/19/2018 2:46,2018/10/19-02:49,2018/10/19-02:54,Transportation accidents,Deterioration,Cars,Other places,Other places,Sheikh Khalifa bin Zayed Hospital roundabout,Street cleaning from oils,Cars,No Clouds,natural,Normal,basic,Traffic accident,,,,
2279,2279,93585,117417,Sharjah,Civil Defense Center - Mawlh,Military officers and members,10/21/2018,2018/10/21-21:44,2018/10/21-21:51,2018/10/21-21:58,10/21/2018 22:05,2018/10/21-22:13,2018/10/21-22:51,Transportation accidents,Clash,Cars,commercial,commercial,Mawlh,Fire fighting,Missing,I did not specify,unclassified,unclassified,basic,it is not determined yet,,,,
2280,2280,93594,117426,Ras Al Khaimah,Civil Defense Center - Administration,he did not specify,10/22/2018,2018/10/22-12:45,2018/10/22-12:54,2018/10/22-12:57,10/22/2018 12:58,2018/10/22-13:01,2018/10/22-13:06,Transportation accidents,One hundredth,he did not specify,Public facilities and services,Public places and places,Missing,Missing,Missing,No Clouds,natural,unclassified,basic,it is not determined yet,,,,
2281,2281,93669,117507,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,10/25/2018,2018/10/25-11:05,2018/10/25-11:10,2018/10/25-11:16,10/25/2018 11:17,2018/10/25-11:19,2018/10/25-11:25,Transportation accidents,Clash,Trucks,Other places,Other places,Nesnas intersection,rescue,Missing,No Clouds,Crowded,Important,basic,Traffic accident,,,,
2282,2282,93689,117528,Fujairah,Civil Defense Center - Al -Madinah,Police and traffic,10/26/2018,2018/10/26-11:40,2018/10/26-11:46,2018/10/26-12:50,10/26/2018 12:51,2018/10/26-12:52,2018/10/26-13:00,Transportation accidents,Deterioration,Missing,Public facilities and services,Public places and places,Missing,Street cleaning from oils,Missing,No Clouds,natural,unclassified,basic,it is not determined yet,1,0,0,0
2283,2283,93744,117583,Ras Al Khaimah,Civil Defense Center - Al -Jazeera Al -Hamra,The audience,10/28/2018,2018/10/28-05:31,2018/10/28-05:35,2018/10/28-05:45,10/28/2018 5:48,2018/10/28-05:50,2018/10/28-06:07,Transportation accidents,Clash,the person,Other places,Streets and squares,Mohammed bin Zayed Street near the exit 119,Rescue people,Missing,No Clouds,natural,Normal,basic,Traffic accident,1,0,0,0
2284,2284,93785,117629,Sharjah,Civil Defense Center - Al Dhaid,Police and traffic,10/29/2018,2018/10/29-02:23,2018/10/29-02:32,2018/10/29-02:39,10/29/2018 2:45,2018/10/29-02:50,2018/10/29-02:58,Transportation accidents,Deterioration,Cars,Means of transport,Methods and transport facilities,Mleiha Street in Kalba,Directing confined and transferring injured people,Specific,No Clouds,natural,Normal,basic,it is not determined yet,2,0,0,0
2285,2285,93815,117659,Sharjah,Civil Defense Center - Al -Sajaa,Police and traffic,10/30/2018,2018/10/30-06:19,2018/10/30-06:38,2018/10/30-06:50,10/30/2018 7:15,2018/10/30-07:30,2018/10/30-07:40,Transportation accidents,Clash,Cars,Means of transport,Methods and transport facilities,Emirates Street near Budaie Bridge,Directing and transporting bodies,Missing,Clouds,Crowded,Important,medium,Traffic accident,0,1,0,0
2286,2286,93843,117688,Fujairah,Civil Defense Center - Al -Taween,Police and traffic,10/31/2018,2018/10/31-04:22,2018/10/31-04:38,2018/10/31-04:43,10/31/2018 4:48,2018/10/31-04:59,2018/10/31-05:10,Transportation accidents,A deterioration resulted in a fire,Light,Means of transport,Methods and transport facilities,Burning,Fire control and cooling,Cars,No Clouds,natural,Normal,basic,Traffic accident,2,0,0,0
2287,2287,93859,117704,Umm Al Quwain,Al -Aqran Center,Police and traffic,10/31/2018,2018/10/31-18:58,2018/10/31-19:10,2018/10/31-19:31,10/31/2018 19:36,2018/10/31-19:45,2018/10/31-20:01,Transportation accidents,Clash,Cars,Means of transport,Methods and transport facilities,Emirates Street near the exit 95 direction of Sharjah,He told,Cars,No Clouds,natural,Normal,basic,Traffic accident,,,,
2288,2288,93862,117707,Eye,Civil Defense Center - Civil,Police and traffic,10/31/2018,2018/10/31-20:11,2018/10/31-20:14,2018/10/31-20:17,10/31/2018 20:20,2018/10/31-20:56,2018/10/31-21:01,Transportation accidents,A collision resulted in a fire,Cars,Means of transport,Methods and transport facilities,Civil /high bridge,take actions,Cars,No Clouds,natural,Normal,basic,it is not determined yet,2,0,0,0
2289,2289,93872,117717,Umm Al Quwain,Al -Aqran Center,Police and traffic,11/1/2018,2018/11/01-14:21,2018/11/01-14:25,2018/11/01-14:28,11/1/2018 14:30,2018/11/01-14:32,2018/11/01-14:36,Transportation accidents,Clash,Cars,governmental,governmental,Emirates Street towards Ras Al Khaimah,Inspection,governmental,No Clouds,natural,Normal,Limited,Traffic accident,,,,
2290,2290,93890,117736,Fujairah,Civil Defense Center - against us,The audience,11/1/2018,2018/11/01-23:26,2018/11/01-23:35,2018/11/01-23:37,11/1/2018 23:39,2018/11/01-23:45,2018/11/01-23:55,Transportation accidents,Run over,Missing,governmental,governmental,Al -Ahraa area,Fire fighting,Missing,No Clouds,natural,Normal,basic,Unknown,,,,
2291,2291,93968,117821,Abu Dhabi,Civil Defense Center - Al Samha,Police and traffic,11/4/2018,2018/11/04-11:33,2018/11/04-11:37,2018/11/04-11:43,11/4/2018 11:45,2018/11/04-11:55,2018/11/04-12:00,Transportation accidents,A deterioration resulted in a fire,bike,residential,residential,Missing,Fire control and cooling,Missing,No Clouds,natural,Normal,basic,it is not determined yet,,,,
2292,2292,93998,117852,Ras Al Khaimah,Civil Defense Center - Riffa,Police and traffic,11/6/2018,2018/11/06-16:19,2018/11/06-16:21,2018/11/06-16:25,11/6/2018 16:30,2018/11/06-16:31,2018/11/06-16:33,Transportation accidents,Clash,Cars,Other places,Streets and squares,Southern Al -Dhait under the Rotana Bridge,Separation of a battery,Missing,No Clouds,natural,Normal,basic,other reasons,2,0,0,0
2293,2293,94066,117928,Abu Dhabi,Civil Defense Center - Al -Qubaisat,Police and traffic,11/8/2018,2018/11/08-04:48,2018/11/08-04:53,2018/11/08-05:23,11/8/2018 6:34,2018/11/08-06:49,2018/11/08-06:55,Transportation accidents,Deterioration,Cars,Means of transport,Methods and transport facilities,Zayed Sports City under the Air Bridge on Airport Street,Rescue people,Cars,No Clouds,natural,Important,medium,it is not determined yet,1,1,0,0
2294,2294,94115,117978,Eye,Civil Defense Center - Al Hili,Police and traffic,11/11/2018,2018/11/11-08:45,2018/11/11-08:48,2018/11/11-08:51,11/11/2018 9:00,2018/11/11-09:47,2018/11/11-09:52,Transportation accidents,Deterioration,Cars,Other places,Streets and squares,Rumaila's roundabout,Separation of a battery,Cars,No Clouds,natural,Normal,basic,it is not determined yet,1,0,0,0
2295,2295,94132,117995,Abu Dhabi,Civil Defense Center - Al Wathba,Police and traffic,11/11/2018,2018/11/11-15:04,2018/11/11-15:14,2018/11/11-15:23,11/11/2018 16:00,2018/11/11-16:13,2018/11/11-16:25,Transportation accidents,Deterioration,Cars,Means of transport,Methods and transport facilities,Yas Bani Al -Akhdar Market,rescue,Cars,No Clouds,natural,Important,basic,it is not determined yet,1,0,0,0
2296,2296,94133,117996,Abu Dhabi,Civil Defense Center - Al Samha,Police and traffic,11/11/2018,2018/11/11-20:56,2018/11/11-21:06,2018/11/11-21:20,11/11/2018 21:28,2018/11/11-21:35,2018/11/11-21:45,Transportation accidents,Deterioration,Cars,Means of transport,Methods and transport facilities,Al Samha West - the main road,rescue,Cars,No Clouds,natural,Normal,basic,it is not determined yet,,,,
2297,2297,94141,118005,Sharjah,Civil Defense Center - Al Hamriyah,Police and traffic,11/12/2018,2018/11/12-08:01,2018/11/12-08:05,2018/11/12-08:09,11/12/2018 8:20,2018/11/12-08:30,2018/11/12-08:35,Transportation accidents,Deterioration,Cars,Means of transport,Methods and transport facilities,Al -Ittihad Street from Al -Zawra Roundabout to Hamriyah,Directing and transporting injured and deceased,Cars,No Clouds,natural,Normal,medium,it is not determined yet,1,1,0,0
2298,2298,94150,118017,Ras Al Khaimah,Civil Defense Center - Kadra,Police and traffic,11/13/2018,2018/11/13-02:11,2018/11/13-02:40,2018/11/13-03:07,11/13/2018 3:34,2018/11/13-03:37,2018/11/13-04:02,Transportation accidents,Clash,Cars,Other places,Other places,Al -Munai’i Street,Directing confined and transferring injured people,Missing,I did not specify,unclassified,unclassified,basic,it is not determined yet,1,0,0,0
2299,2299,94217,118086,Ras Al Khaimah,Civil Defense Center - Al -Jazeera Al -Hamra,Police and traffic,11/15/2018,2018/11/15-17:51,2018/11/15-17:56,2018/11/15-18:11,11/15/2018 18:18,2018/11/15-18:20,2018/11/15-18:25,Transportation accidents,Clash,the person,Other places,Streets and squares,Behind a free factory,Disturbing injured,Missing,No Clouds,natural,unclassified,basic,it is not determined yet,3,0,0,0
2300,2300,94218,118087,Eye,Civil Defense Center - Civil,Police and traffic,11/15/2018,2018/11/15-15:18,2018/11/15-15:26,2018/11/15-15:29,11/15/2018 15:45,2018/11/15-16:17,2018/11/15-16:25,Transportation accidents,Deterioration,Cars,Other places,Streets and squares,Al -Riffa neighborhood / North Al -Yahr,Separation of a battery,Cars,No Clouds,natural,Normal,basic,it is not determined yet,3,0,0,0
2301,2301,94226,118095,Sharjah,Civil Defense Center - Administration,Police and traffic,11/15/2018,2018/11/15-20:31,2018/11/15-20:36,2018/11/15-20:41,11/15/2018 20:50,2018/11/15-20:52,2018/11/15-20:56,Transportation accidents,Clash,Cars,Other places,Streets and squares,"Al -Boutina, the previous release roundabout",Being and preparing,Cars,No Clouds,natural,Normal,Limited,Traffic accident,,,,
2302,2302,94235,118104,Eye,Civil Defense Center - Umm Ghafa,Police and traffic,11/16/2018,2018/11/16-06:10,2018/11/16-06:22,2018/11/16-06:38,11/16/2018 6:52,2018/11/16-07:00,2018/11/16-07:20,Transportation accidents,Clash,Cars,Means of transport,Methods and transport facilities,Umm Ghaza - tweezers,take actions,Cars,No Clouds,natural,Normal,Limited,it is not determined yet,,,,
2303,2303,94275,118146,Fujairah,Civil Defense Center - Al -Taween,Police and traffic,11/18/2018,2018/11/18-13:03,2018/11/18-13:07,2018/11/18-13:10,11/18/2018 13:15,2018/11/18-13:17,2018/11/18-13:20,Transportation accidents,Deterioration,Cars,Public facilities and services,Public places and places,Missing,He told,Cars,I did not specify,unclassified,Normal,basic,it is not determined yet,4,0,0,0
2304,2304,94297,118169,Fujairah,Civil Defense Center - Al -Taween,Police and traffic,11/19/2018,2018/11/19-15:31,2018/11/19-15:43,2018/11/19-15:48,11/19/2018 15:50,2018/11/19-15:55,2018/11/19-16:15,Transportation accidents,Clash,Cars,Public facilities and services,Public places and places,Love,Inspection,Missing,I did not specify,unclassified,unclassified,basic,it is not determined yet,2,0,0,0
2305,2305,94347,118221,Sharjah,Civil Defense Center - Sunan,Police and traffic,11/21/2018,2018/11/21-21:12,2018/11/21-21:26,2018/11/21-21:35,11/21/2018 22:18,2018/11/21-22:30,2018/11/21-22:41,Transportation accidents,Clash,Trucks,Public facilities and services,Public places and places,From Al -Zubayr in the coming of the bite,Take bodies,Specific,No Clouds,natural,Important,medium,it is not determined yet,0,1,0,0
2306,2306,94357,118236,Eye,Civil Defense Center - Civil,Police and traffic,11/22/2018,2018/11/22-16:29,2018/11/22-16:35,2018/11/22-16:42,11/22/2018 16:59,2018/11/22-17:15,2018/11/22-17:30,Transportation accidents,Deterioration,Cars,Means of transport,Methods and transport facilities,From the cataract bridge towards Abu Dhabi,rescue,Specific,No Clouds,natural,very important,medium,it is not determined yet,2,1,0,0
2307,2307,94367,118246,Eye,Civil Defense Center - Administration,Police and traffic,11/22/2018,2018/11/22-23:40,2018/11/22-23:46,2018/11/22-23:53,11/22/2018 23:57,2018/11/22-23:58,2018/11/22-23:59,Transportation accidents,Clash,Cars,Other places,Streets and squares,Quetat for Al Ain Mall,Inspection,Cars,No Clouds,natural,Normal,Limited,it is not determined yet,,,,
2308,2308,94393,118272,Ras Al Khaimah,Civil Defense Center - Al -Jazeera Al -Hamra,Police and traffic,11/24/2018,2018/11/24-18:53,2018/11/24-18:57,2018/11/24-19:05,11/24/2018 19:14,2018/11/24-19:20,2018/11/24-19:24,Transportation accidents,Clash,Cars,Other places,Streets and squares,Missing,Directing confined and transferring injured people,Missing,I did not specify,unclassified,unclassified,basic,Traffic accident,,,,
2309,2309,94397,118276,Ajman,Civil Defense Center - Industrial,Police and traffic,11/25/2018,2018/11/25-12:12,2018/11/25-12:19,2018/11/25-12:25,11/25/2018 12:50,2018/11/25-13:00,2018/11/25-13:10,Transportation accidents,Clash,Cars,Means of transport,Methods and transport facilities,Industrial 1,Ambulance and rescue,Missing,I did not specify,unclassified,unclassified,basic,it is not determined yet,1,0,0,0
2310,2310,94412,118291,Fujairah,Civil Defense Center - against us,Police and traffic,11/26/2018,2018/11/26-11:41,2018/11/26-11:47,2018/11/26-11:50,11/26/2018 12:15,2018/11/26-12:30,2018/11/26-12:40,Transportation accidents,Deterioration,Cars,Other places,Streets and squares,Prohibited,Inspection,Missing,I did not specify,unclassified,unclassified,Limited,it is not determined yet,,,,
2311,2311,94414,118293,Sharjah / Eastern Region,Civil Defense Center - Kalba,Police and traffic,11/26/2018,2018/11/26-13:04,2018/11/26-13:08,2018/11/26-13:11,11/26/2018 13:14,2018/11/26-13:15,2018/11/26-13:19,Transportation accidents,Clash,Cars,tourist,tourist,"Corniche, Khorka Street",Directing injured and deceased,Cars,Clouds,natural,Important,medium,it is not determined yet,2,1,0,0
2312,2312,94416,118295,Sharjah,Civil Defense Center - Administration,Police and traffic,11/26/2018,2018/11/26-15:32,2018/11/26-15:37,2018/11/26-15:43,11/26/2018 15:48,2018/11/26-15:52,2018/11/26-15:58,Transportation accidents,Clash,Cars,governmental,governmental,Ramla near the public street,Rescue people,Cars,I did not specify,unclassified,unclassified,basic,it is not determined yet,,,,
2313,2313,94455,118334,Sharjah,Civil Defense Center - Al Dhaid,Police and traffic,11/28/2018,2018/11/28-18:28,2018/11/28-18:33,2018/11/28-18:36,11/28/2018 18:38,2018/11/28-18:57,2018/11/28-19:09,Transportation accidents,Clash,Cars,Other places,Streets and squares,"Sharjah Road, Bridge 12",rescue,Cars,Clouds,natural,Normal,basic,Traffic accident,1,0,0,0
2314,2314,94469,118348,Ajman,Civil Defense Center - Administration,Police and traffic,11/30/2018,2018/11/30-04:59,2018/11/30-05:05,2018/11/30-05:12,11/30/2018 5:15,2018/11/30-05:20,2018/11/30-05:27,Transportation accidents,Shocked,Cars,Public facilities and services,Public places and places,Kindergarten,take actions,Missing,No Clouds,natural,Normal,basic,it is not determined yet,1,0,0,0
2315,2315,94505,118384,Sharjah / Eastern Region,Civil Defense Center - Kalba,Police and traffic,12/2/2018,2018/12/02-20:17,2018/12/02-20:35,2018/12/02-20:38,12/2/2018 21:00,2018/12/02-21:05,2018/12/02-21:21,Transportation accidents,Clash,Cars,Public facilities and services,Public places and places,Wadi El Helou Street,Fire fighting,Cars,No Clouds,natural,Normal,basic,it is not determined yet,,,,
